#options: 640x360 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=48 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1658 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:25.69 aq:16.54 tex:48904 mv:15622 misc:130 imb:920 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:25.88 aq:16.38 tex:6328 mv:3044 misc:948 imb:63 pmb:376 smb:481 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:25.88 aq:18.37 tex:255 mv:273 misc:288 imb:1 pmb:26 smb:893 d:t ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:25.88 aq:19.82 tex:17 mv:83 misc:196 imb:1 pmb:11 smb:908 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:25.88 aq:21.19 tex:61 mv:177 misc:178 imb:0 pmb:11 smb:909 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:25.46 aq:16.14 tex:10220 mv:3694 misc:950 imb:87 pmb:440 smb:393 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:25.67 aq:21.28 tex:257 mv:313 misc:366 imb:1 pmb:39 smb:880 d:t ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:25.78 aq:21.11 tex:70 mv:274 misc:320 imb:0 pmb:33 smb:887 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:25.56 aq:20.23 tex:148 mv:168 misc:196 imb:0 pmb:15 smb:905 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:25.03 aq:16.04 tex:13723 mv:4080 misc:917 imb:110 pmb:471 smb:339 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:25.24 aq:17.92 tex:456 mv:453 misc:427 imb:2 pmb:52 smb:866 d:t ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:25.35 aq:20.00 tex:41 mv:362 misc:357 imb:0 pmb:41 smb:879 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:25.13 aq:19.61 tex:70 mv:223 misc:211 imb:1 pmb:21 smb:898 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:19.77 aq:11.18 tex:59232 mv:6316 misc:372 imb:194 pmb:685 smb:41 d:t ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:22.40 aq:14.82 tex:2216 mv:1899 misc:957 imb:5 pmb:294 smb:621 d:t ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:23.71 aq:18.85 tex:250 mv:1085 misc:809 imb:2 pmb:190 smb:728 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:21.09 aq:15.67 tex:1083 mv:1078 misc:727 imb:2 pmb:170 smb:748 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:14.19 aq:5.62 tex:202579 mv:6062 misc:151 imb:130 pmb:790 smb:0 d:t ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:16.98 aq:11.12 tex:14263 mv:5753 misc:688 imb:2 pmb:789 smb:129 d:s ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:18.38 aq:13.71 tex:3552 mv:3687 misc:897 imb:4 pmb:627 smb:289 d:s ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:15.59 aq:11.65 tex:8411 mv:2236 misc:1001 imb:0 pmb:404 smb:516 d:- ref:0 ;
